addr,vote_option,myStake
cosmos1mk8kvqsnge6e3edpx38dqnpn39zmqlsw46fcve,VOTE_OPTION_ABSTAIN,12902.541577
cosmos1z9p077a57nygyscrt54tvulpj8hukwafuufmk9,VOTE_OPTION_NO_WITH_VETO,12819.137475000001
cosmos1auugl9psvd8wgnumw2z90ytfqxyr9u7aj9r600,VOTE_OPTION_YES,12506.192617
cosmos1kerrt5dttzzx5fny38hku3p6psl4few4wy7ke5,VOTE_OPTION_NO,12104.0
cosmos1mszqfjrh2af5k3jr4r3deukgrzdylkr2sc8pg2,VOTE_OPTION_NO,12100.949978
cosmos14t74gj6wup0x7jz6azgfdkruc8p2vufcv4mvan,VOTE_OPTION_NO_WITH_VETO,12001.334037
cosmos194yny8pvr6n3dfgyd9uerpvqsxfnpdq6fggmm5,VOTE_OPTION_NO_WITH_VETO,12001.110031
cosmos13eh69lv2zlrgp2ugk4enzga7a4se22scd5a802,VOTE_OPTION_NO,11990.606977
cosmos1cd4m6ql2aqddwkne6myyn7wjxrqx5tukspa3j7,VOTE_OPTION_YES,11908.371955999999
cosmos1a4t4p7sjghppjqx6gv0c80s5xefl3xq4phngq5,VOTE_OPTION_NO,11782.746845
cosmos195lfnvs7jeevj6prn5a9ghr563s6tmzlamtp7y,VOTE_OPTION_YES,11757.466618999999
cosmos1uutuwrwt3z2a5z8z3uasml3rftlpmu25cufp5f,VOTE_OPTION_NO,11645.0
cosmos15ja9qv3wd7ymdmmn0q9j6pywpeaq9c78qfjvpw,VOTE_OPTION_ABSTAIN,11600.580083
cosmos1gv23034suxwklhr4q7fsw9dygph55ykm0xp99t,VOTE_OPTION_ABSTAIN,11502.300342
cosmos145p0kql0xxqah7xg7qkhad7vzkudxdudr96sn7,VOTE_OPTION_NO,11452.221289
cosmos1c4f37lt3dzrrgy6dccmcu9amnudg2aetlwzpuh,VOTE_OPTION_NO,11300.006599
cosmos16dqm6mthxhrzpu4x8wty03dqmkx82sp97m49z5,VOTE_OPTION_ABSTAIN,11153.24625
cosmos1d0aup392g3enru7eash83sedqclaxvp7vkr0y9,VOTE_OPTION_NO,11086.108603
cosmos1dchyf63dgmwcgp36kz3682y0cy4h5ze6x3g6tf,VOTE_OPTION_ABSTAIN,11060.905986
cosmos1sd2hkpjqevmqva6jvsrrc52kmdshplgyqvefny,VOTE_OPTION_ABSTAIN,10730.634099
cosmos1rcp29q3hpd246n6qak7jluqep4v006cd4v7r6v,VOTE_OPTION_YES,10716.65784
cosmos1uvjzl78r65c4sxe9pamdqswascslknf5pcl9qu,VOTE_OPTION_ABSTAIN,10486.618489
cosmos1pne2ccrqeh36ap3yfv4j38pk760xxpvzvg7w43,VOTE_OPTION_YES,10485.229081
cosmos13sc66ae36a8m6zcqyg8h63t9syjeg5a7cv3nvu,VOTE_OPTION_NO,10255.694715
cosmos1lntxy0dls0yrr880rurqtpu4c4vad349afdhu4,VOTE_OPTION_NO_WITH_VETO,10254.091447
cosmos18jmylp5ddfhv4gzzm0lrvk92xy9aa6x5dtk953,VOTE_OPTION_ABSTAIN,10209.518662999999
cosmos10rk2v8pxjnldtxuy9ds0s5na9qjcmh5yyr5736,VOTE_OPTION_NO,10195.863645
cosmos1434zluxmfj85vwpc3stk03wrcuzrqllc88mv0d,VOTE_OPTION_NO,10179.466663
cosmos14edy0mskwzyen3g6p3w8tanzjm8e06kxdpck44,VOTE_OPTION_NO,10121.027334999999
cosmos1wgdegtthkx0n5fmyt2l2xn9jchywffack25frs,VOTE_OPTION_NO,10072.625499
cosmos1pumtu9qmxw5d3wfvwfxyfj2syu3e6sw7vhq4eg,VOTE_OPTION_NO,10015.731887999998
cosmos1smqr5tp684g07aekcn0w852wqlme5mn6wgyq6k,VOTE_OPTION_NO_WITH_VETO,10012.791225
cosmos1404zxd8qq40wgv2hrzsxak82f9phydey9tke57,VOTE_OPTION_NO,10001.177982
cosmos1ys7s8x49xev0t62mu5hw5khyv07l7p4fwyhnpl,VOTE_OPTION_YES,10000.475653
cosmos1f3sak44pkjzhhh2zjrdawufqpgdmqdd5f8d82a,VOTE_OPTION_NO,10000.346582
cosmos1ycfh3lwhatggcxnu3kmylrhy4w2sr06f8auup4,VOTE_OPTION_NO_WITH_VETO,10000.134284
cosmos1477zhjwcyfezy3tye8qsd7x5yvywygn40ejqus,VOTE_OPTION_NO,9949.886457
cosmos1k6l9g3ajsgy57upsvuwpwmezs6x7saqst40q7l,VOTE_OPTION_ABSTAIN,9769.054557
cosmos1e0plfg475phrsvrlzw8gwppeva0zk5ygqauatt,VOTE_OPTION_NO,9678.026666
cosmos1dfg7jytutzzpa4hehgeegw8gydjnww8ha2vljy,VOTE_OPTION_ABSTAIN,9358.485721
cosmos18a3579c6dcjlsf4dcj3qp7dna3xga2gjwdx6pz,VOTE_OPTION_ABSTAIN,9344.958051
cosmos1r277pfc6tce8v3s4jl3k4jfntt44w56a69hpk9,VOTE_OPTION_ABSTAIN,9228.051927
cosmos1nvn4sfc3r2d69c7v0j9v7ak87xepz9q5dxfv7a,VOTE_OPTION_NO_WITH_VETO,9141.022
cosmos19pp29s628hdhp3llatdhccct9el4gnpj5ns9z4,VOTE_OPTION_NO,9054.209411
cosmos1u2ch4ddtw2wtrme8mj06yal2py4e4l27djwc4j,VOTE_OPTION_ABSTAIN,9000.913869
cosmos17ddeh7ae8ntzwpsjh00hlnrylqq54zppwwxe6n,VOTE_OPTION_NO,8704.4
cosmos1tv6zkzzmutqh3z8pnptgy95tvcmxfvkwp2nrus,VOTE_OPTION_ABSTAIN,8701.01
cosmos1rdfsxdlluw5vqmwj9lu6s4raj06kgz68y8xyw4,VOTE_OPTION_NO,8677.230246
cosmos1r7pnv302qhmn0st3kx78jk8e7hrq28700fwycd,VOTE_OPTION_ABSTAIN,8576.852735
cosmos1whejvdne3cj6p5pnap8cnvgnlxdyd4dxwuzagj,VOTE_OPTION_NO,8501.149099999999
cosmos1eze2y03x4dddr7a9dam2rndfjshgdpdfc97cud,VOTE_OPTION_YES,8469.406526
cosmos1n2s5vkjvx9jducqg9fffncf3vv0ddp0vts2k8v,VOTE_OPTION_NO,8111.9
cosmos12736ed7frh0uxwv2tm29qz8v30fe03kq7rx3q2,VOTE_OPTION_NO_WITH_VETO,8107.240167
cosmos14dmelcmvwq8sefu5tr4atv98u6ur9c20auhmzf,VOTE_OPTION_NO,8062.791811000001
cosmos1x4lakqr72p8kxdxrvrlxcjl56wdnv7w62m04lr,VOTE_OPTION_ABSTAIN,8007.74908
cosmos1ktecz4dr56j9tsfh7nwg8s9suvhfu70qpzrfcr,VOTE_OPTION_YES,8000.000302
cosmos13flpjhfu6f062q3ksx923xlatjp4204cjsjyc4,VOTE_OPTION_NO_WITH_VETO,7947.0
cosmos1807ynny2fcfkl07f4tfvy4xjr7ya32h6vl2k4p,VOTE_OPTION_NO,7923.060522000001
cosmos194hpwqdnynv6v298dve8c0tgc00qsuvlm55hpu,VOTE_OPTION_NO,7634.517078
cosmos13nnp438pzfcehqdf4kuguwq6h5q8phatpjruva,VOTE_OPTION_NO,7620.992903
cosmos1t3r6xel6yrfuhty0h3w3004ppsxk4calhrpy5r,VOTE_OPTION_ABSTAIN,7609.136294
cosmos1j3r03dpsv7v0hrgtnxxmnvnf94h2zwu6tswg2n,VOTE_OPTION_NO,7607.530222
cosmos1ehdhcx42evhxhavk0sy6ftqqm9jglcsmh0xu5y,VOTE_OPTION_NO,7580.0
cosmos1fc5p3n0mlm2tk9dar55n9astmxs4p5jk0nudal,VOTE_OPTION_NO,7527.348867
cosmos1j28m906upylzey4rghxs4ytww40tsewjmtfmzz,VOTE_OPTION_NO,7506.418629
cosmos15kzyw7at85juqlfc04pxfd02tj8y3aag3cr9m5,VOTE_OPTION_ABSTAIN,7504.0
cosmos19j2hd230c3hw6ds843yu8akc0xgvdvyu83c6xl,VOTE_OPTION_NO,7500.0
cosmos1u92fzavvxgfnc4pe6he638sjxfvcahxux6a4wf,VOTE_OPTION_NO,7471.517639000001
cosmos1ggck7xagaq8kau8su3qvzrsv4pnnhrvs0nzwrl,VOTE_OPTION_YES,7445.624496
cosmos1ga8tq2jv9cks6scpmrjfhst55dqvtmhqt7pggr,VOTE_OPTION_ABSTAIN,7416.695795
cosmos16k579jk6yt2cwmqx9dz5xvq9fug2tekv6g34pl,VOTE_OPTION_NO_WITH_VETO,7413.123929
cosmos1gd6e2ggarc4x598y9yvx5m70ymetsj2492zvyt,VOTE_OPTION_ABSTAIN,7411.51836
cosmos189n8jcs42t56rzs7cur9wtz9pfz3sxacs5fcq9,VOTE_OPTION_ABSTAIN,7382.222064
cosmos1xppn98w0gg6wl0q2g2nasmkqlf2elwpkl7fc5y,VOTE_OPTION_ABSTAIN,7260.446709000001
cosmos140mtc9tsl84l5udw6j6vn672nev95w694zdzpd,VOTE_OPTION_NO,7178.376805
cosmos1q5r883azzh0n7v377h6ehv87y7xm5yldrh4f8w,VOTE_OPTION_ABSTAIN,7003.0
cosmos1f62zgjhla097yc4e9sf5zm64antugnjhg5y2qt,VOTE_OPTION_ABSTAIN,7002.0
cosmos1226q9glnrx4vvkk68050l82dazcpk4uv5gglc0,VOTE_OPTION_ABSTAIN,7001.30003
cosmos1ahfsu9n2yd6lx0qukrd7k8nc2m24l6jplp4sz8,VOTE_OPTION_ABSTAIN,7000.022857
cosmos1kmg4rujwme6ajkxglvq5aq26m5ul9gn4qfrure,VOTE_OPTION_NO,6865.464767
cosmos1083svrca4t350mphfv9x45wq9asrs60cg0hunp,VOTE_OPTION_NO_WITH_VETO,6836.81655
cosmos1marr9p0luhgf8yds4hs72f09tzyzde3zng32rm,VOTE_OPTION_NO,6822.138148
cosmos1984ucd9z0k0920qzfznqaaktt4rajhx6d9ydzy,VOTE_OPTION_YES,6785.678501
cosmos17h2x3j7u44qkrq0sk8ul0r2qr440rwgjnau6yy,VOTE_OPTION_NO,6719.695267
cosmos1fpd09ws4wklavaks4dx2dafnczdnsuclcqr5e5,VOTE_OPTION_NO,6668.001164
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,VOTE_OPTION_NO,6633.829966
cosmos1rm0w7hlqen2zn2u26h7jwfzj8q2qr7hx4f7ztg,VOTE_OPTION_ABSTAIN,6574.896486
cosmos1k25emq087mh24neaem4lksa36qn3cdg29x5yup,VOTE_OPTION_ABSTAIN,6503.89956
cosmos1gtlrpw0atvc3ydn2s2fpcja0n2stw4dj0dumhk,VOTE_OPTION_YES,6499.200191
cosmos1c92h8l2jn68pc56a4t76les0jvp93jf49e0gce,VOTE_OPTION_ABSTAIN,6368.354061
cosmos1wrzfqgnv56ad5zxgwpuqx37nn5kmahw6t2jcnt,VOTE_OPTION_YES,6355.065697
cosmos1pvgdhrlfc5eqkkzlptjrs6u35zd0qcte89ss8t,VOTE_OPTION_NO,6280.628053
cosmos1wfr579ak4ja4gx4lmgr8h38g3wml6fs7d8n4kk,VOTE_OPTION_NO,6231.314945
cosmos1s05va5d09xlq3et8mapsesqh6r5lqy7mnr69mg,VOTE_OPTION_YES,6211.960503
cosmos1fujw9udraastqazedvz72xzlr2gvv4q34xnxzl,VOTE_OPTION_YES,6124.128651
cosmos199gxe69xgw8qxpnld7ya8eh92ajdaqzwm48dqu,VOTE_OPTION_NO,6103.706695
cosmos1u4qsps5jjr7ntqshwxjejzhzve25rpsuz7m7ln,VOTE_OPTION_NO,6080.2100310000005
cosmos138c2xkmamslme7qqeyw3nxg8wssj33cr2skdcm,VOTE_OPTION_NO,6078.685476
cosmos1wnvup0sewd8veqxh8ctlculhqrzvxszdv4nddf,VOTE_OPTION_NO,6059.31123
cosmos1vuafuq42sh7xgjw6y2500yjlm58m3jrj9acuch,VOTE_OPTION_NO,6038.931531
cosmos1gsntsyym25rc5kgqeuydutlpuqhgs54v46ye2n,VOTE_OPTION_NO,6036.999607
cosmos14aw43q28gs6h0668s97lm27trqw7zllg2q3u27,VOTE_OPTION_NO,6035.126985
cosmos1wn4esy5w5fk25t0e6ah8evyltzhrq8hvx8xj0f,VOTE_OPTION_NO,6015.10754
cosmos17fre6650n0xvyjaklxeeuezeak08dw5wmagu9h,VOTE_OPTION_NO,6007.260566
cosmos1y4wzfnvak6fwdm934stksjt9g0gz8klm5jxnrg,VOTE_OPTION_NO,6000.770376
cosmos1vz73yxk594xlxeveu7muafzkynejjcgreggjvh,VOTE_OPTION_ABSTAIN,6000.680968
cosmos1p0thdn96qx07veretqvae7ugnxsgfcx4ndk23m,VOTE_OPTION_NO,6000.010084
cosmos1mg9cn5cyrm440qmz58f2l85yt87eah5wayapwe,VOTE_OPTION_YES,6000.01
cosmos1yeyafzl0nczpdwx2q2wkwkez7za7uwt2fazqux,VOTE_OPTION_ABSTAIN,6000.000001
